accident_index,accident_severity,speed_limit,weather_conditions,road_surface_conditions,day_of_week,urban_or_rural_area,light_conditions
2023000001,3,30.0,2.0,1.0,5,2,1
2023000002,3,30.0,1.0,1.0,1,2,6
2023000003,3,30.0,1.0,4.0,4,1,1
2023000004,3,40.0,1.0,1.0,3,1,1
2023000005,2,30.0,1.0,1.0,5,2,7
2023000006,2,70.0,2.0,2.0,7,1,5
2023000007,2,20.0,8.0,2.0,6,1,1
2023000008,3,40.0,1.0,1.0,7,1,6
2023000009,3,50.0,2.0,2.0,6,1,1
2023000010,3,50.0,1.0,1.0,2,1,1
2023000011,2,70.0,1.0,1.0,6,2,6
2023000012,3,50.0,1.0,2.0,5,1,1
2023000013,3,70.0,1.0,3.0,1,1,1
2023000014,3,30.0,1.0,2.0,3,1,1
2023000015,3,30.0,1.0,1.0,2,2,4
2023000016,3,20.0,4.0,2.0,7,1,1
2023000017,3,20.0,2.0,1.0,6,1,4
2023000018,3,30.0,9.0,1.0,6,3,1
2023000019,3,30.0,1.0,,7,1,1
2023000020,3,30.0,1.0,1.0,3,1,7
2023000021,3,30.0,1.0,4.0,3,1,1
2023000022,2,20.0,1.0,1.0,7,1,1
2023000023,3,70.0,1.0,1.0,5,1,1
2023000024,3,20.0,1.0,2.0,6,2,4
2023000025,3,50.0,1.0,2.0,4,1,5
2023000026,3,30.0,1.0,1.0,6,2,6
2023000027,3,70.0,1.0,1.0,5,2,1
2023000028,3,70.0,1.0,2.0,2,1,1
2023000029,3,40.0,1.0,1.0,1,1,4
2023000030,2,40.0,1.0,1.0,6,2,1
2023000031,3,20.0,2.0,1.0,5,1,4
2023000032,3,70.0,1.0,1.0,4,2,5
2023000033,2,70.0,2.0,4.0,4,2,1
2023000034,3,70.0,1.0,1.0,5,1,1
2023000035,3,40.0,1.0,5.0,2,1,4
2023000036,3,30.0,3.0,1.0,4,1,1
2023000037,3,70.0,1.0,4.0,4,1,1
2023000038,2,30.0,1.0,1.0,6,1,1
2023000039,3,40.0,4.0,1.0,6,2,1
2023000040,3,30.0,1.0,1.0,7,1,1
2023000041,2,70.0,1.0,1.0,2,2,1
2023000042,3,30.0,2.0,1.0,2,1,1
2023000043,2,30.0,2.0,1.0,2,2,1
2023000044,3,40.0,1.0,1.0,7,2,5
2023000045,3,50.0,1.0,1.0,2,2,5
2023000046,3,40.0,4.0,1.0,5,1,1
2023000047,3,30.0,1.0,1.0,5,1,1
2023000048,3,20.0,1.0,,3,1,1
2023000049,3,50.0,1.0,1.0,7,1,1
2023000050,3,70.0,5.0,3.0,3,3,1
2023000051,3,60.0,1.0,1.0,7,1,1
2023000052,3,30.0,2.0,5.0,3,2,4
2023000053,3,70.0,1.0,1.0,4,2,7
2023000054,3,30.0,1.0,4.0,2,1,1
2023000055,3,30.0,2.0,1.0,5,1,1
2023000056,3,30.0,8.0,2.0,5,1,6
2023000057,2,30.0,1.0,2.0,2,1,4
2023000058,3,50.0,1.0,1.0,3,2,1
2023000059,2,30.0,5.0,1.0,6,2,7
2023000060,3,30.0,1.0,2.0,7,1,1
2023000061,3,30.0,1.0,1.0,4,1,4
2023000062,3,20.0,1.0,1.0,5,1,4
2023000063,3,40.0,2.0,2.0,1,1,1
2023000064,3,30.0,2.0,1.0,4,1,1
2023000065,3,30.0,5.0,2.0,4,2,1
2023000066,3,40.0,1.0,1.0,3,1,1
2023000067,2,40.0,1.0,1.0,2,1,1
2023000068,3,50.0,1.0,1.0,7,1,1
2023000069,2,30.0,1.0,1.0,7,2,1
2023000070,3,70.0,1.0,4.0,1,1,1
2023000071,3,70.0,1.0,1.0,3,1,1
2023000072,3,60.0,1.0,,2,1,5
2023000073,1,40.0,1.0,1.0,7,1,1
2023000074,3,30.0,1.0,2.0,1,1,5
2023000075,3,70.0,2.0,1.0,6,2,5
2023000076,3,30.0,1.0,1.0,6,1,1
2023000077,3,30.0,1.0,1.0,5,2,1
2023000078,2,30.0,1.0,1.0,1,2,4
2023000079,3,30.0,2.0,1.0,3,2,1
2023000080,2,70.0,1.0,1.0,1,1,6
2023000081,3,40.0,1.0,2.0,1,2,1
2023000082,3,40.0,1.0,3.0,1,2,1
2023000083,3,40.0,1.0,2.0,5,1,5
2023000084,2,30.0,2.0,1.0,6,2,1
2023000085,3,20.0,1.0,1.0,6,1,1
2023000086,3,40.0,1.0,1.0,2,1,1
2023000087,3,50.0,1.0,2.0,1,1,1
2023000088,3,30.0,1.0,1.0,7,2,1
2023000089,3,50.0,1.0,3.0,4,2,1
2023000090,3,30.0,1.0,1.0,7,2,5
2023000091,2,30.0,2.0,2.0,3,1,1
2023000092,3,30.0,2.0,2.0,4,1,5
2023000093,3,30.0,2.0,1.0,7,1,1
2023000094,3,60.0,1.0,2.0,2,2,1
2023000095,3,60.0,1.0,3.0,3,1,6
2023000096,3,30.0,1.0,3.0,2,1,1
2023000097,3,40.0,1.0,2.0,7,2,1
2023000098,3,50.0,1.0,1.0,3,2,1
2023000099,2,30.0,5.0,2.0,6,2,1
2023000100,2,30.0,1.0,2.0,6,1,1
2023000101,2,70.0,5.0,1.0,4,2,1
2023000102,3,40.0,1.0,1.0,4,2,1
2023000103,3,70.0,1.0,1.0,7,2,1
2023000104,3,30.0,1.0,1.0,5,2,1
2023000105,3,50.0,1.0,2.0,7,2,6
2023000106,3,30.0,1.0,1.0,7,1,1
2023000107,3,30.0,4.0,1.0,7,1,1
2023000108,3,30.0,3.0,1.0,2,2,1
2023000109,3,30.0,1.0,1.0,4,1,1
2023000110,2,30.0,1.0,,3,1,5
2023000111,3,30.0,5.0,1.0,1,2,1
2023000112,2,20.0,3.0,1.0,7,1,1
2023000113,3,50.0,1.0,2.0,1,1,1
2023000114,3,30.0,2.0,1.0,1,1,1
2023000115,3,30.0,1.0,1.0,5,1,5
2023000116,3,30.0,1.0,1.0,7,2,5
2023000117,3,30.0,1.0,1.0,4,2,1
2023000118,3,40.0,1.0,1.0,2,2,1
2023000119,3,30.0,1.0,1.0,2,2,1
2023000120,3,50.0,1.0,1.0,7,1,5
2023000121,3,20.0,1.0,1.0,7,1,1
2023000122,3,30.0,8.0,1.0,5,2,1
2023000123,3,70.0,8.0,2.0,3,2,1
2023000124,2,50.0,1.0,1.0,6,1,1
2023000125,3,30.0,1.0,2.0,7,2,1
2023000126,3,60.0,1.0,2.0,4,3,4
2023000127,3,30.0,1.0,2.0,4,1,1
2023000128,3,60.0,1.0,1.0,3,1,6
2023000129,1,40.0,1.0,2.0,3,1,1
2023000130,3,40.0,1.0,1.0,4,1,1
2023000131,3,70.0,,1.0,4,2,1
2023000132,3,30.0,1.0,1.0,1,2,1
2023000133,2,40.0,3.0,3.0,7,2,1
2023000134,3,30.0,1.0,1.0,7,2,7
2023000135,3,20.0,1.0,3.0,7,2,1
2023000136,3,20.0,1.0,1.0,2,1,1
2023000137,3,30.0,1.0,3.0,1,2,1
2023000138,3,40.0,1.0,3.0,1,2,1
2023000139,3,40.0,2.0,3.0,2,2,1
2023000140,3,40.0,1.0,1.0,5,1,1
2023000141,3,20.0,3.0,2.0,6,1,1
2023000142,3,30.0,1.0,4.0,5,1,4
2023000143,3,70.0,1.0,1.0,5,2,5
2023000144,3,30.0,1.0,1.0,5,1,1
2023000145,3,40.0,1.0,2.0,3,1,1
2023000146,2,50.0,1.0,1.0,1,2,1
2023000147,3,50.0,5.0,2.0,3,1,1
2023000148,3,30.0,1.0,1.0,7,1,1
2023000149,2,70.0,1.0,1.0,3,2,5
2023000150,3,30.0,4.0,1.0,2,1,1
2023000151,3,70.0,1.0,1.0,5,1,1
2023000152,3,30.0,1.0,1.0,4,1,7
2023000153,2,30.0,1.0,2.0,5,1,4
2023000154,3,30.0,1.0,1.0,1,1,1
2023000155,3,50.0,1.0,2.0,3,2,1
2023000156,3,30.0,1.0,2.0,1,1,6
2023000157,3,30.0,1.0,1.0,3,1,1
2023000158,3,30.0,1.0,1.0,3,1,1
2023000159,3,70.0,1.0,1.0,3,1,1
2023000160,3,60.0,1.0,1.0,4,1,1
2023000161,3,40.0,1.0,1.0,7,1,1
2023000162,3,40.0,5.0,1.0,5,1,4
2023000163,3,30.0,,4.0,3,1,1
2023000164,3,30.0,2.0,1.0,2,1,1
2023000165,2,70.0,1.0,1.0,6,1,1
